#Obj,67,21,27,16,4101683,28,130,34,134,31,144,30,130,11,140,37,134,34,126,49,117,0,0,28,130,32,138,30,145,29,131,11,138,37,131,32,126,48,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,21,27,16,4181061,33,132,46,132,39,148,32,127,11,140,42,123,45,114,47,115,0,0,33,132,45,138,32,146,31,129,11,141,42,127,44,114,47,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,22,27,0,4222225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,22,27,16,4301969,28,130,35,134,33,140,23,144,28,135,25,132,39,117,50,111,0,0,27,134,35,131,24,145,30,136,21,134,37,130,39,112,50,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,23,27,16,4382207,31,142,47,130,26,149,33,126,30,134,42,117,46,103,47,119,0,0,31,143,45,134,25,150,32,129,30,133,42,121,45,103,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,23,27,0,4422447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,24,27,16,4502265,28,132,35,132,36,135,29,139,22,141,20,143,38,120,47,123,0,0,28,131,34,133,33,140,30,133,18,143,33,142,36,121,49,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,24,27,16,4583337,33,130,46,130,44,135,31,141,31,143,27,144,45,112,48,111,0,0,33,129,46,130,42,141,32,131,23,143,40,139,44,112,48,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,24,27,1,4622617,0,0,0,0,0,0,0,0,0,0,2142,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,25,27,16,4703491,28,131,34,136,31,144,30,130,11,139,37,133,34,126,49,117,0,0,28,130,33,138,31,145,30,131,11,140,38,133,33,126,48,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,25,27,16,4785399,33,131,46,133,38,148,32,127,11,140,42,124,45,114,46,115,0,0,33,132,44,137,32,146,31,130,11,142,42,127,43,114,46,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,26,27,0,4823731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,26,27,16,4903769,28,131,35,132,33,141,23,145,28,134,26,132,39,117,50,111,0,0,26,134,34,131,23,144,29,136,21,135,35,130,38,112,48,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,27,27,16,4986541,31,142,47,130,26,150,33,126,30,134,42,117,46,104,47,119,0,0,30,144,45,134,25,150,32,129,29,133,42,121,45,104,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
